Site;2017-T1;2017-T2;2017-T3;2017-T4;2018-T1;2018-T2;2018-T3;2018-T4;2019-T1;2019-T2;2019-T3;2019-T4;2020-T1;2020-T2;2020-T3;2020-T4;2021-T1;2021-T2;2021-T3;2021-T4
rome;6948;12189;13105;10742;8878;12481;11950;10091;7192;9026;8397;6008;2959;149;1187;450;85;228;509;149
venise;2358;3364;2973;2242;2177;2849;2741;1822;1340;1939;1661;993;493;88;503;96;16;84;132;16
